text,intent
কতটুকু ভালো?,product_info
পণ্যের variety আছে কি?,product_info
onek dhonnobad,thanks
ওয়েবসাইট কী?,contact
নমস্কার,greeting
onek kaje laglo,thanks
প্রথমবার আসলাম,help
পরে কথা হবে,thanks
হতাশ হয়েছি,complaint
অর্ডার করতে চাই,order
ektu bolben?,help
সর্বনিম্ন দাম কত?,price_inquiry
koto taka rakhen?,price_inquiry
আজকেই চাই,order
সুপ্রভাত,greeting
পণ্যের তালিকা দিন,product_info
ami jani na,help
বাড়িতে পৌঁছে দেবেন?,delivery
কতদিনে পৌঁছাবে?,delivery
dam ta ektu kom hobe?,price_inquiry
ki ki offer ache?,product_info
কটায় খোলেন?,hours
phone number den,contact
কোথায় খুঁজে পাবো?,location
কিনতে চাই,order
কোথায় পাওয়া যাবে?,location
কত টাকা লাগবে?,price_inquiry
আদাব,greeting
মূল্য বলুন,price_inquiry
আমি সন্তুষ্ট নই,complaint
এখনই অর্ডার দিতে চাই,order
অর্ডার করার নিয়ম কী?,order
fix koren,complaint
চট্টগ্রামে আছেন?,location
hey bhai,greeting
opening time ki?,hours
কেউ আছো?,greeting
এটার দাম কত?,price_inquiry
এখন কি বন্ধ?,hours
kokhon kholen?,hours
ঠিক করে দিন,complaint
ভালো থাকবেন,thanks
help chai,complaint
home delivery ache?,delivery
কোন মার্কেটে?,location
একজন মানুষের সাথে কথা বলতে চাই,contact
কোথায় আছেন?,location
কথা বলতে চাই,greeting
রাতে কি খোলা?,hours
টাকা কাটা গেছে কিন্তু অর্ডার হয়নি,complaint
সুন্দরভাবে বুঝিয়ে দেওয়ার জন্য ধন্যবাদ,thanks
কোনটা সেরা?,product_info
email ki?,contact
ki ki ache?,product_info
thank you bhai,thanks
same day delivery hobe?,delivery
facebook page er naam ki?,contact
hello bhai,greeting
ডেলিভারি নষ্ট হলে কী হবে?,delivery
ঠিকানা দিন,location
ওটার দাম কত?,price_inquiry
কত দূরে?,location
কোনো অফার আছে?,price_inquiry
tata,thanks
number den,contact
bKash-এ দেওয়া যাবে?,order
price janate paren?,price_inquiry
বাইরে ডেলিভারি দেন?,delivery
ajkei pabo?,delivery
মান খারাপ,complaint
valo thakben,thanks
অর্ডার নিচ্ছেন?,order
একটু সাহায্য লাগবে,greeting
are you open?,hours
সারা দেশে ডেলিভারি আছে?,delivery
